,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
2020-01-27,145.28212292423993,146.57572877357563,143.88956328851577,145.2633913799348,145.2633913799348,12533359,223.90132067568916,224.32164631600884,223.30255520693012,223.73295721513514,223.73295721513514,9426029,55.59605314189944,55.82215127316739,55.18395932100628,55.539410942099806,55.539410942099806,13895819
2020-01-28,140.6893697616905,142.3067532661727,140.24912522170763,141.24742890847477,141.24742890847477,2148469,225.48389816743122,227.33557239770354,223.6942976015679,225.390296507433,225.390296507433,6436134,57.67286799074075,57.97889677412477,57.605736785324034,57.60623063817513,57.60623063817513,13514331
2020-01-29,145.1992647232348,146.7937830027687,143.9527196636244,145.4725597716807,145.4725597716807,12726030,221.32005824259815,223.34459210981575,219.1488782433528,221.22192321991471,221.22192321991471,6000135,57.343656501768464,57.63455270276473,56.76439444274456,57.32614382753165,57.32614382753165,10264258
2020-01-30,144.86120075407055,146.00235912472544,144.670437524517,144.90295818019257,144.90295818019257,6170555,222.52648165012857,223.7212780929279,222.16200948173926,222.35645816844266,222.35645816844266,8430332,56.67911092372084,57.08102837291328,56.34157348420963,56.5715751654429,56.5715751654429,8049412
2020-01-31,144.83434017172246,146.0525842055375,143.8131988270645,145.18560068749824,145.18560068749824,2516394,228.7203748488837,230.38491949036026,227.24071796257692,228.5156083211039,228.5156083211039,13514591,56.71482933112236,56.947349536684754,56.28953031545941,56.58225476621437,56.58225476621437,3431483
2020-02-03,141.30499628990475,142.22931852969305,140.08845850474734,141.13565362303424,141.13565362303424,14162767,219.6802542297494,220.12066716285858,219.12252814154348,219.85362246400166,219.85362246400166,2965098,56.74305601596245,56.985881480392514,56.632518227844116,56.92908497038245,56.92908497038245,8877389
2020-02-04,140.1113406586207,141.3571097130232,138.737029891452,139.6836987822691,139.6836987822691,4090825,214.14396453715437,215.4471047478503,213.5666178498408,213.8640152798768,213.8640152798768,4306972,56.38257105601871,56.832804040704474,56.03811945495563,56.38806599447561,56.38806599447561,3118127
2020-02-05,140.41883251350646,141.23158620070143,139.72395465536147,140.0773905537221,140.0773905537221,10908720,216.2260122549905,218.0937899175718,215.7525200362692,216.57174315185904,216.57174315185904,11000085,58.3864981142784,58.816295970956375,57.91320556133924,58.41623066084445,58.41623066084445,3315560
2020-02-06,136.8784170518551,137.80285035817474,135.683409412041,136.93687345066616,136.93687345066616,5290303,222.48174566226677,223.48907210060614,220.71455554569448,221.9971732234686,221.9971732234686,14146131,55.49931374271401,56.090877515413226,55.17414751156847,55.562960792378256,55.562960792378256,12929040
2020-02-07,138.45955726002313,138.67621422821674,137.81486812731654,138.04797381461387,138.04797381461387,9415871,220.4950962417795,221.0315014635135,220.00719140093514,220.15058538715303,220.15058538715303,10718277,54.184719304722506,54.466528912624085,53.7577247271318,54.234018900784044,54.234018900784044,9950389
2020-02-10,136.51304154440163,137.16000581650647,136.3992667948533,136.47246351614353,136.47246351614353,13092722,213.2684062241339,215.1395688807092,211.4201821691922,212.34221153921072,212.34221153921072,14559402,55.78064006810734,55.824263684101815,55.35214561906129,55.759810029065115,55.759810029065115,9912425
2020-02-11,135.6666593433416,136.73075140900815,134.6932985586204,135.75818370172223,135.75818370172223,13035393,218.14538284447295,219.76600391580098,217.6267352095942,217.921425670299,217.921425670299,4720688,56.30204273677145,56.51707778654246,56.16823653415816,56.448425783286815,56.448425783286815,7248579
2020-02-12,134.0412621547557,134.56952778083954,133.4039285048184,134.20590667599168,134.20590667599168,10090433,215.23955200770055,217.17640078986145,214.26307016185314,214.84891384723332,214.84891384723332,6048745,55.236294145950595,55.66344720352237,54.92190360283389,55.162308024657534,55.162308024657534,9859689
2020-02-13,139.17392093714045,139.53981914113217,137.99219793016434,139.2581636833609,139.2581636833609,4418853,212.8927624641298,215.30707232856471,212.48666030201943,213.55929738478986,213.55929738478986,8256464,55.94931233746206,56.02858484576411,55.866156617671294,55.99064710467583,55.99064710467583,11312034
2020-02-14,139.19597734158248,139.74130030118982,138.66230394398676,139.30412660693437,139.30412660693437,13468318,215.29723415888208,217.42948291358215,212.99505882340316,214.8925070112852,214.8925070112852,8421172,54.588018565307934,55.08358286984265,54.46984286763257,54.492694856072475,54.492694856072475,5563863
2020-02-17,136.48734260445016,136.81696039397065,136.21123842142998,136.4408391396823,136.4408391396823,7244786,212.9219562048671,213.33113414771967,210.91817271997883,212.4221455799649,212.4221455799649,7949089,53.88882322777642,54.107687242092894,53.85483610996253,53.95572089414441,53.95572089414441,5564222
2020-02-18,138.81184283245193,139.11016702440196,137.60656994134814,138.76727800391484,138.76727800391484,9249127,209.8078985864635,209.98990225516368,207.36175221158976,209.1783882366707,209.1783882366707,4259071,55.90521321182541,56.48388656945287,55.37830661650867,55.980687899155235,55.980687899155235,13418126
2020-02-19,135.4631006088619,136.03861673357392,134.71870989049086,135.46227536722031,135.46227536722031,10920857,206.1028236696727,206.7973959384644,205.26304136021975,206.05317872001513,206.05317872001513,5599653,57.75546345559208,58.312470527995764,57.186839283175104,57.86488170495735,57.86488170495735,7387550
2020-02-20,136.22835828663298,137.4650917899903,135.85190220170307,136.1094154888551,136.1094154888551,9197177,212.90150401279197,213.32202261467563,212.23424224524143,213.0471828540245,213.0471828540245,6729272,58.43461661192311,59.016213362803285,58.37911686922663,58.50650409284835,58.50650409284835,10849258
2020-02-21,131.1680976206892,131.83319811311856,129.91382082057294,130.85649003590345,130.85649003590345,6384077,217.12649154717087,218.73898431823838,216.30013592361158,217.60064979329005,217.60064979329005,5783524,56.322122260510206,56.533288890743684,56.133334204143395,56.41254365618239,56.41254365618239,5365275
2020-02-24,127.70102702199816,127.94100327828298,126.80750846825549,127.45896864045491,127.45896864045491,14925720,219.5206709234966,221.3521350057309,219.47995379979815,219.9597263576313,219.9597263576313,2095619,55.771750227708715,56.103978916316564,55.65954015450631,55.723299132378955,55.723299132378955,7893641
2020-02-25,127.65703403359493,128.13583105420878,126.88558600418698,128.03727862342248,128.03727862342248,3129775,211.40218847966048,212.6355930487261,209.87014778199077,211.41301564823758,211.41301564823758,6249341,56.08436811458216,56.1368569879289,55.500266679397036,55.96716086697058,55.96716086697058,4062904
2020-02-26,129.34108033778134,130.91016468948854,128.74494944788606,130.0051260157357,130.0051260157357,10125248,212.97036228330697,214.27303882277243,212.2254506146903,213.71899341488896,213.71899341488896,12544674,58.91975188602579,59.03893521237315,58.581890778880876,58.874081131265285,58.874081131265285,10544454
2020-02-27,130.77261532579732,131.27321128148563,129.44700109307573,130.52870419116917,130.52870419116917,4196916,215.5107923196915,217.80404843547123,214.83554570807695,215.84242064760107,215.84242064760107,7924549,55.25166076646268,55.431470164846324,54.90840332860692,55.26021751992067,55.26021751992067,11096352
2020-02-28,129.9488904383206,131.3760007484993,128.87088289380048,130.30511300484247,130.30511300484247,8241602,211.02236108750333,211.06703950935577,209.72260009422192,210.98458554195014,210.98458554195014,11544439,53.68087953629137,54.078554251129546,53.3391103486352,53.62865729652694,53.62865729652694,13440516
2020-03-02,129.54033049314106,130.45330570184476,128.62138586886834,129.59858905104662,129.59858905104662,3170933,212.1010911600397,212.8392312807547,211.1474206657193,212.07258713987773,212.07258713987773,8826093,55.796613433366,55.81446870395779,55.400315986793764,55.80067791271709,55.80067791271709,6281724
2020-03-03,125.54955737793824,126.84608350397785,125.41722641514673,125.84406092782595,125.84406092782595,3391449,215.7733413423694,217.74690040066457,213.65694283341767,216.19249264616315,216.19249264616315,3516871,58.51626098570448,59.04473145195694,58.3261835809884,58.51291716617105,58.51291716617105,10663804
2020-03-04,123.6605253224798,124.44531125628308,122.62319423016132,124.10780499598732,124.10780499598732,4518929,217.97701797859378,220.1921207403321,217.20046821922497,218.5162563615203,218.5162563615203,14788980,58.392826684281,58.47002923269832,58.31254042806788,58.42865968862342,58.42865968862342,9423606
2020-03-05,123.17213429243506,124.02492755419446,122.21328540505681,123.03889234378754,123.03889234378754,8604168,215.48180782169484,216.84881807262263,214.158973962763,215.95020920537965,215.95020920537965,2552813,61.7362460801894,61.968676993655144,61.622262858502694,61.63312261639011,61.63312261639011,11388623
2020-03-06,125.90493158758387,126.2373986487613,124.83780126616314,125.7140586349133,125.7140586349133,13381541,216.01428874646427,216.14628910843288,215.3410778381118,216.1097453540647,216.1097453540647,11705276,59.80426689576105,60.16150255057854,59.53772353111177,60.11275733907422,60.11275733907422,6848763
2020-03-09,126.50740601517909,127.84280259995168,126.04820583950394,126.65344006615099,126.65344006615099,2859734,219.99197264840598,221.35161912993908,216.88888455709204,219.0588707342921,219.0588707342921,9227951,56.75437706520984,57.43580365612112,56.23914129036575,56.9975111242067,56.9975111242067,14814136
2020-03-10,121.62995016252066,123.04158377852208,120.56048287657765,122.26353011716165,122.26353011716165,7207188,219.86810586610164,220.00683094652143,218.42623691222025,219.40282308827364,219.40282308827364,14280206,58.75140348525063,58.83442801545955,58.45196852901566,58.630949197835626,58.630949197835626,13940821
2020-03-11,122.99484377829715,123.52893054498247,122.10267411177615,123.12936123828372,123.12936123828372,12056440,224.5621688475644,224.8043721177221,223.04260648032295,224.46601012110406,224.46601012110406,14552774,61.32230989624606,61.889189080503584,61.20214464712644,61.3464223693916,61.3464223693916,11898977
2020-03-12,122.35074010125248,122.68048985942775,122.11729274331907,122.25494015078984,122.25494015078984,12646336,226.42750486044034,227.89985134027228,225.89033500170905,226.1769502123279,226.1769502123279,6254094,64.26954145201329,64.61031269147341,63.5577833253671,64.15185694317216,64.15185694317216,10143015
2020-03-13,120.31622210130163,120.9035490702987,119.8255989757452,120.67315194219714,120.67315194219714,10242580,229.82131426578582,230.53947904385447,227.67409614736266,229.3553262266838,229.3553262266838,12512005,62.201564683210805,62.86798697824767,62.13597397997035,62.27730368015173,62.27730368015173,4167067
2020-03-16,122.26663511221872,123.11594923876935,121.13846379134867,122.22181394821712,122.22181394821712,3872154,233.17572149535343,233.98724331495228,232.2341855063411,232.861070930162,232.861070930162,9471342,62.98436896604335,63.167250954699625,62.74165272410706,62.77417039308889,62.77417039308889,5415533
2020-03-17,124.81153786430794,125.08835035199438,124.75263093509821,124.81535967297006,124.81535967297006,9904617,228.36564572058106,229.6188875077817,227.34116716896847,228.50650168620638,228.50650168620638,13423184,64.66444477663774,64.97596665697789,64.09577712976021,64.68210540474911,64.68210540474911,6389923
2020-03-18,127.36239929725161,128.12059181983176,125.99194389899515,127.21501014924935,127.21501014924935,13096442,228.4393676188631,231.0655986059859,226.42194403604915,228.82635335035476,228.82635335035476,11948949,65.48696876298075,65.94161005433946,64.96957090300342,65.4281630361645,65.4281630361645,6528951
2020-03-19,125.18605027001634,125.51733640785518,124.30610433631934,125.15611784065499,125.15611784065499,2913605,227.5148224603946,229.768914835395,225.30667162926886,227.57184020751959,227.57184020751959,14446751,68.74419494363703,69.37813139526983,68.45404725623989,68.80572738930691,68.80572738930691,2619694
2020-03-20,124.21500419939734,125.28108321388261,123.43074050225363,124.4572151003629,124.4572151003629,5009526,232.42741615604044,233.39492084131837,230.97668137496993,231.96152529839026,231.96152529839026,4696314,67.77727262665383,68.18519917429545,67.26735440097742,67.89910149761965,67.89910149761965,12153158
2020-03-23,125.65644782798043,126.68047214280347,125.0172884279114,125.35645191216467,125.35645191216467,11899007,233.88509708621206,234.63294554405334,231.93261805578837,234.011646454517,234.011646454517,6498965,67.56311727111591,68.40424632841412,67.06217732682134,67.79918434658478,67.79918434658478,10117363
2020-03-24,127.83693857398268,128.87240240000645,127.51889076783506,127.87748329963719,127.87748329963719,10405547,232.8203410510552,234.04191793876868,232.69613373999692,233.33586193121369,233.33586193121369,8942362,68.5349842140112,68.61584672861088,68.40004432874913,68.42745675334942,68.42745675334942,11678759
2020-03-25,126.72177734018693,127.69291486213687,125.52798442087166,126.72869787766342,126.72869787766342,12929691,227.28256655318114,228.68170162535867,225.35617854483561,228.06869562455873,228.06869562455873,8106491,70.54556471917067,71.04551035613372,70.01313373952259,70.48981889261204,70.48981889261204,14270906
2020-03-26,126.09836142560445,126.57132622982648,125.72224474823128,126.33416868915191,126.33416868915191,14889516,221.5733961864914,222.8066442131478,220.17856878635325,221.62704356627404,221.62704356627404,9069995,70.09368067311136,70.33774615581123,69.63142174024138,70.08054861830341,70.08054861830341,4969514
2020-03-27,123.50501867961614,123.72386771411219,122.54723071804193,123.61461100570969,123.61461100570969,4032656,222.51851579041522,224.3290539355521,221.43105407793402,222.97590280037537,222.97590280037537,9237234,72.26052789819084,72.49885013135425,71.5640960064438,72.42545744341871,72.42545744341871,5814619
2020-03-30,120.51776048800356,121.57525819988125,120.04397890081422,120.73140744194941,120.73140744194941,8490750,220.01656086816115,221.2851454311761,218.0584933311433,220.20881015606744,220.20881015606744,6501461,76.78218317912902,77.0790726674215,75.82533287468685,76.56543164856834,76.56543164856834,3987450
2020-03-31,122.72333028809179,123.2179983905502,122.55243305486307,122.76579400882618,122.76579400882618,9221626,223.60864017587429,224.5209508212916,221.07452128932283,222.95927906630223,222.95927906630223,14622825,75.26960973444547,75.93214459981736,74.96936725333931,75.25367513092623,75.25367513092623,8553153
2020-04-01,126.60138180369954,127.14873810050234,126.15593173241955,126.16945116471246,126.16945116471246,8353575,216.45308368246842,216.9337803045064,215.81033686543304,216.47639806552363,216.47639806552363,7550843,75.00052203428696,75.73592755647645,74.45347249283371,74.89523598467893,74.89523598467893,7164808
2020-04-02,125.71755012120015,126.10271090397679,125.0333231307497,126.06344328504939,126.06344328504939,8982137,222.4572974937554,223.8666727058789,220.6965738284142,222.79169034283996,222.79169034283996,8373624,77.50648857283838,77.8113988209804,77.39692743522366,77.50695162575151,77.50695162575151,11299574
2020-04-03,128.2540261078616,129.0032526923746,127.00255048716485,128.66925760218226,128.66925760218226,14453619,225.704634617517,226.47451925137526,225.34093036739515,225.56534743757956,225.56534743757956,3403400,82.63291098117108,83.54741936356459,82.57799601923574,82.81334827317995,82.81334827317995,7238905
2020-04-06,130.05864210189395,130.10244117548183,129.1984028674029,129.67708793404526,129.67708793404526,5289986,226.94942114421764,228.17856891198184,224.22072744959024,226.0808390583645,226.0808390583645,7214435,84.90766580404534,85.34040147254356,84.37273337944389,84.73946874402716,84.73946874402716,12879808
2020-04-07,128.02812807846524,129.20782567983503,127.57082141961418,128.0817491638873,128.0817491638873,7652555,232.9867574207792,234.61649400771037,231.41303527853037,233.04301225537262,233.04301225537262,9696968,82.56669455248256,83.15871016852591,81.92322497044361,82.49232467872172,82.49232467872172,9780226
2020-04-08,128.9116281842709,129.3985488945294,128.4680540772556,129.08436183925883,129.08436183925883,7198054,236.02076358589525,238.6397562613471,235.81338080069477,237.13793286232269,237.13793286232269,4817422,83.11681881077631,83.18471116618652,82.64491382747808,83.14698619597158,83.14698619597158,9816189
2020-04-09,133.40943213830383,134.15297249132686,132.4395285877746,133.13254182971647,133.13254182971647,11656011,235.53479235111524,236.62411770783828,233.62215629979534,235.2289586787999,235.2289586787999,12116029,86.09904712463333,86.57888742202309,85.6548246619024,86.02443459993238,86.02443459993238,11571748
2020-04-10,132.95579363892682,133.1689172354423,132.369904145882,133.11702912180635,133.11702912180635,11704385,235.83833049774051,237.1497152518546,234.30690161900253,235.67504066035073,235.67504066035073,14978988,83.8007305450091,83.85952676011843,82.97946759838246,83.66393272916481,83.66393272916481,12675070
2020-04-13,137.86416420957642,138.7835077921533,136.15384079203542,137.3625136412043,137.3625136412043,9269623,227.50112900758432,228.1491799215674,226.1077660860125,227.46013052209628,227.46013052209628,2049875,80.69625495945446,80.91301959097777,79.94961530048398,80.58984315429147,80.58984315429147,5342624
2020-04-14,130.4244324524594,130.8457390348254,129.58940580722845,130.2478356974489,130.2478356974489,14732717,231.8292882098839,231.98717685677167,231.15498041941345,231.93095619223757,231.93095619223757,11929273,79.42458218718082,80.14909459119042,78.84324026808304,79.69735854561496,79.69735854561496,8463112
2020-04-15,132.3377405201167,133.65645149875013,131.66578526974416,132.46700484585108,132.46700484585108,3854165,230.43874003430096,232.2540113912583,229.82462724436465,230.811395268394,230.811395268394,14394715,81.37379097840089,82.27582589974259,81.31110691780228,81.61704270381252,81.61704270381252,6195380
2020-04-16,133.3499846037713,134.53429007197815,132.59337654303366,132.77710233696106,132.77710233696106,12636445,223.38701903344557,223.95122440871899,221.01395369159977,222.7122125108272,222.7122125108272,3058162,77.90137994004526,78.33832382856451,77.16781437790014,77.78736713144175,77.78736713144175,14172492
2020-04-17,131.9027572597044,132.49232971701684,130.60649670856225,132.06274200691706,132.06274200691706,2377224,217.28397244012368,219.54468371807496,216.72595790680765,218.08579072985586,218.08579072985586,12537746,75.87242748807628,76.68950895562115,75.1748402167883,75.97820740480638,75.97820740480638,7408091
2020-04-20,132.58082686418106,133.77532826941044,132.05341827740753,132.38434324728047,132.38434324728047,14821090,221.47669741671717,223.2691101021848,220.48833051959113,221.61363739458127,221.61363739458127,6622410,76.6208832142562,77.40410096942813,76.5753381612067,76.78191217513469,76.78191217513469,6916274
2020-04-21,127.27745456370944,128.54533869397977,127.10799368724057,127.20131374486584,127.20131374486584,6453722,228.01032184725003,230.25177547817026,226.42613121538565,228.161976628174,228.161976628174,10844905,79.84869800371052,79.97345372613455,79.46882725598367,79.78931811818985,79.78931811818985,9508806
2020-04-22,127.04869362379077,128.0973734420264,125.87845261921248,126.71878347859783,126.71878347859783,8321136,228.74972734189728,230.94143062415748,228.17813187180133,228.35994349834817,228.35994349834817,4650247,80.5054601078023,80.99336752710983,79.70977997330525,80.67955754188358,80.67955754188358,3731471
2020-04-23,128.09868172162334,129.1809507803415,126.9395900676414,127.69987216122264,127.69987216122264,10623041,224.992079048241,225.0157618186748,223.10303300575345,224.43742206863783,224.43742206863783,13751328,81.73986118332566,82.36520937626791,81.25004417225713,81.81826618991327,81.81826618991327,3671207
2020-04-24,131.55945005367417,131.8870445774849,131.0049013135796,131.55102969614586,131.55102969614586,12414807,218.71076837391283,220.9770293445531,217.42173878067982,218.80999162005702,218.80999162005702,14367945,84.92232495696598,85.71924117654498,84.34241808668419,84.77781780092654,84.77781780092654,12287321
2020-04-27,130.07009065822461,131.0176300388504,129.52094483686403,130.26638069646867,130.26638069646867,2364446,224.5776074276203,226.11151362558684,222.95493758027976,224.49096924520626,224.49096924520626,14022013,89.33067640494052,90.48703006396424,89.17216256115219,89.60201672604583,89.60201672604583,8230194
2020-04-28,128.35612176873812,128.44244885156675,127.23139836836405,128.23814981558368,128.23814981558368,8759072,226.54532419819114,228.00319809360454,225.58185183459,226.4194409599348,226.4194409599348,3117201,94.09209671347979,95.07035748432614,93.56001881286355,94.35028887544998,94.35028887544998,2159270
2020-04-29,126.8560268733693,127.14877735813302,126.60775359404991,127.02820480694866,127.02820480694866,2448934,225.6615412383071,225.69587134339503,224.17610541214788,225.18715017020284,225.18715017020284,14466082,87.42095203935023,88.20674814187566,87.03713624118323,87.70353219423622,87.70353219423622,8668470
2020-04-30,129.9512451460181,131.24931853302695,128.3684051249698,129.43005948359632,129.43005948359632,4657885,223.4569188693164,225.3814045157916,222.2605092169319,222.9963286727753,222.9963286727753,10707069,87.94051273928432,88.75875100944467,87.82843866276534,88.09223661133638,88.09223661133638,6027555
2020-05-01,130.3943201756751,130.82023920439093,129.51302457947142,130.35872303285748,130.35872303285748,7242029,225.56135419632756,226.13303285047022,223.73843895378383,225.80450660585853,225.80450660585853,4530346,91.00887672008359,91.25754611622791,90.5713095336513,90.99382356834478,90.99382356834478,7957353
2020-05-04,128.9614672915197,130.02133543446615,128.4211577237457,129.05576099314325,129.05576099314325,7772964,228.7363818829787,230.6516605815003,228.23773630694328,228.53622921287612,228.53622921287612,7521457,96.3788467480699,96.77194269553353,96.22040059368015,96.49827067863572,96.49827067863572,5511672
2020-05-05,130.50618287872334,131.55893064804528,129.8604618750898,130.45799683320797,130.45799683320797,12270834,225.13469532857684,225.16973201968176,222.79597796322022,224.96226094908187,224.96226094908187,3649383,99.05660292429886,99.70477915786462,98.03806150574741,98.75966243207806,98.75966243207806,9123648
2020-05-06,130.43718236778025,131.91176736597603,130.1024189821011,130.78956248381633,130.78956248381633,7644219,220.397805065604,221.87293068086564,218.99864011206296,220.44890950837242,220.44890950837242,4227995,95.9758868895562,96.81263881622469,94.95495140420492,95.88856888850636,95.88856888850636,11626096
2020-05-07,133.14257917020566,134.7326635105242,132.14119474934412,133.40180931158537,133.40180931158537,8955038,216.38801924881992,217.32887767540794,214.3086500376648,216.22637630905936,216.22637630905936,2632621,93.54100898264106,94.45173335926535,93.10176187359276,93.54452963426684,93.54452963426684,14182100
2020-05-08,131.92471727947512,132.2433108348901,130.9337593142904,131.60874733805161,131.60874733805161,13296266,214.5207854585622,214.95147182267974,213.5978062631209,214.51212441918753,214.51212441918753,4036287,91.58095736182501,91.8935548570734,90.77173856165214,91.34940325925666,91.34940325925666,5443148
2020-05-11,130.65337177861753,130.87803756268613,130.23416450001,130.8252484931779,130.8252484931779,12466646,212.02290001629396,212.25095479842352,211.2516829855206,211.95596830665028,211.95596830665028,10543813,92.17796407284048,93.1601673925999,91.78069960845816,92.42396098277784,92.42396098277784,3519346
2020-05-12,129.6058497398761,130.41183717004137,128.83333392246863,129.87779071087948,129.87779071087948,11860225,217.64344608361148,219.1958169922282,215.68307539069312,218.23530298017067,218.23530298017067,2523566,91.12189207025496,91.89782305159402,90.83829454052294,90.9642380335301,90.9642380335301,12547673
2020-05-13,126.2895575723063,126.45383587472038,124.89799523236249,126.15415562259106,126.15415562259106,11211879,215.96822147656545,216.63224289313646,215.7546871545813,216.36545173044289,216.36545173044289,9448777,81.32331934556554,81.86878892898106,80.5340315705198,81.36176418452482,81.36176418452482,4024108
2020-05-14,127.27809846167332,127.30664170696191,126.42430127027247,126.97698418628082,126.97698418628082,3942120,211.9527959441928,212.98383313844772,211.35890407615324,211.6067108368937,211.6067108368937,14974286,78.01664714915378,78.35918410320208,77.91555422001471,78.08775739747318,78.08775739747318,14918664
2020-05-15,127.8997744699798,128.36075956902306,126.54025916829653,127.7161306001392,127.7161306001392,13399706,206.6649902776882,208.4618177498629,206.04634529116956,207.16657697081416,207.16657697081416,13069660,77.04572645786091,77.52270774039366,76.86578183290564,76.95168053798773,76.95168053798773,5683364
2020-05-18,128.0604230822931,129.0640816024778,127.36487008917,127.80582169642663,127.80582169642663,13078370,206.7783646604444,208.48921616544467,204.60138765562567,206.58413045604226,206.58413045604226,6259177,73.29852364090706,73.78779225413949,72.96195665370348,73.35904611291916,73.35904611291916,3881686
